[09/08/2018 15:30:47:147] 4252 - EspdDataSetFieldNotFoundException : Campo indPag_B05 não encontrado
[20/04/2021 11:28:46:429] 15012 - EspdDataSetFieldNotFoundException : Campo vTroco_YA09 não encontrado
[20/04/2021 11:28:46:432] 15012 - EspdNFCeConvTX2Exception : Não foi possível converter a Linha: [70] vTroco_YA09=30.00Erro: Campo vTroco_YA09 não encontrado
[22/04/2021 10:57:53:898] 19996 - EspdDataSetFieldNotFoundException : Campo versao_A02 não encontrado
[22/04/2021 11:01:37:246] 22080 - EspdDataSetFieldNotFoundException : Campo versao_A02 não encontrado
[22/04/2021 11:02:17:294] 6060 - EspdDataSetFieldNotFoundException : Campo versao_A02 não encontrado
[22/04/2021 11:04:42:836] 6352 - EspdDataSetFieldNotFoundException : Campo versao_A02 não encontrado
[22/04/2021 11:06:09:985] 12880 - EspdDataSetFieldNotFoundException : Campo versao_A02 não encontrado
[22/04/2021 11:07:12:780] 23488 - EspdDataSetFieldNotFoundException : Campo Id_A03 não encontrado
[22/04/2021 11:14:30:179] 18836 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 11:20:15:172] 20464 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 11:22:25:343] 16968 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 11:23:34:473] 15440 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 11:28:38:151] 2804 - EspdDataSetFileNotFoundException : Arquivo:  C:\Program Files\TecnoSpeed\NFCe\Arquivos\Templates\vm60\Conversor não encontrado.
[22/04/2021 11:31:20:059] 4936 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:22:08:663] 18472 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:23:39:594] 22972 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:27:50:101] 20424 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:28:11:618] 11124 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:31:24:140] 20776 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:31:54:683] 18952 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:32:12:495] 1856 - EspdDataSetFileNotFoundException : Arquivo:  C:\Users\guilherme.noce\Desktop\DEV\Componente-NFCe\demonstracoes\c#\bin\Debug\Templates\vm60\Conversor\NFCeDataSets.xml não encontrado.
[22/04/2021 16:33:19:939] 19936 - EspdDataSetFieldNotFoundException : Campo Id_A03 não encontrado
